Movie Name,Rating,Year,Director,Writers,User Reviews,Genre,Summary,URL,Genre List,Cast 1,Cast 2
Ramayana: The Legend of Prince Rama,8.9,2023,Vidhu Vinod Chopra,Vidhu Vinod Chopra,974,Biography,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,https://www.imdb.com/title/tt23849204/?ref_=fea_eds_center-3_IndiaTop250_1,"Biography, Drama",Vikrant Massey,Medha Shankr
12th Fail,8.7,1987,Mani Ratnam,Balakumaran,237,Crime,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact ... Read all",https://www.imdb.com/title/tt0093603/?ref_=fea_eds_center-3_IndiaTop250_2,"Crime, Drama",Kamal Haasan,Saranya Ponvannan
Nayakan,8.5,1979,Hrishikesh Mukherjee,Sailesh Dey,48,Comedy,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,https://www.imdb.com/title/tt0079221/?ref_=fea_eds_center-3_IndiaTop250_3,"Comedy, Romance",Amol Palekar,Utpal Dutt
Gol Maal,8.6,2003,Sundar C.,Kamal Haasan,116,Adventure,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fat... Read all",https://www.imdb.com/title/tt0367495/?ref_=fea_eds_center-3_IndiaTop250_4,"Adventure, Comedy, Drama",Kamal Haasan,Madhavan
Anbe Sivam,8.7,2022,Madhavan,Madhavan,1.1K,Biography,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",https://www.imdb.com/title/tt9263550/?ref_=fea_eds_center-3_IndiaTop250_5,"Biography, Drama",Madhavan,Simran
Rocketry: The Nambi Effect,8.7,2022,Kiranraj K,Kiranraj K,390,Adventure,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa... Read all,https://www.imdb.com/title/tt7466810/?ref_=fea_eds_center-3_IndiaTop250_6,"Adventure, Comedy, Drama",Rakshit Shetty,Charlie
777 Charlie,8.7,2018,Mari Selvaraj,Mari Selvaraj,168,Drama,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",https://www.imdb.com/title/tt8176054/?ref_=fea_eds_center-3_IndiaTop250_7,Drama,Kathir,Anandhi
Pariyerum Perumal,8.8,2021,Rojin Thomas,Rojin Thomas,541,Drama,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",https://www.imdb.com/title/tt10534500/?ref_=fea_eds_center-3_IndiaTop250_8,"Drama, Family",Indrans,Sreenath Bhasi
#Home,8.7,1993,Fazil,Madhu Muttam,53,Comedy,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",https://www.imdb.com/title/tt0214915/?ref_=fea_eds_center-3_IndiaTop250_9,"Comedy, Horror, Mystery",Mohanlal,Shobana
Manichithrathazhu,8.4,2009,Rajkumar Hirani,Abhijat Joshi,999,Comedy,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all",https://www.imdb.com/title/tt1187043/?ref_=fea_eds_center-3_IndiaTop250_10,"Comedy, Drama",Aamir Khan,Madhavan
3 Idiots,8.4,1959,Satyajit Ray,Bibhutibhushan Bandyopadhyay,62,Drama,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,https://www.imdb.com/title/tt0052572/?ref_=fea_eds_center-3_IndiaTop250_11,Drama,Soumitra Chatterjee,Sharmila Tagore
The World of Apu,8.9,1989,Sibi Malayil,A.K. Lohithadas,33,Action,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,https://www.imdb.com/title/tt0237376/?ref_=fea_eds_center-3_IndiaTop250_12,"Action, Drama",Mohanlal,Thilakan
Kireedam,8.8,2018,Venkatesh Maha,Venkatesh Maha,139,Drama,Four unconventional love stories set in the town and including the people of Kancherapalem.,https://www.imdb.com/title/tt7391996/?ref_=fea_eds_center-3_IndiaTop250_13,Drama,Radha Bessy,Subba Rao Vepada
C/o Kancharapalem,8.7,2020,Sudha Kongara,Sudha Kongara,2.1K,Drama,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",https://www.imdb.com/title/tt10189514/?ref_=fea_eds_center-3_IndiaTop250_14,Drama,Suriya,Urvashi
Soorarai Pottru,8.5,2019,Madhu C. Narayanan,Syam Pushkaran,194,Comedy,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby st... Read all",https://www.imdb.com/title/tt8413338/?ref_=fea_eds_center-3_IndiaTop250_15,"Comedy, Drama, Romance",Shane Nigam,Soubin Shahir
Kumbalangi Nights,8.4,2004,Anurag Kashyap,Anurag Kashyap,88,Action,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",https://www.imdb.com/title/tt0400234/?ref_=fea_eds_center-3_IndiaTop250_16,"Action, Crime, Drama",Kay Kay Menon,Pawan Malhotra
Black Friday,9.0,1991,Sathyan Anthikad,Sreenivasan,17,Comedy,"A satire on contemporary Kerala politics where brothers turn local leaders of rival parties, leading to distress for their aged and once-proud parents.",https://www.imdb.com/title/tt0353975/?ref_=fea_eds_center-3_IndiaTop250_17,"Comedy, Drama",Sreenivasan,Jayaram
Sandesham,8.7,2021,T.J. Gnanavel,T.J. Gnanavel,3.3K,Crime,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",https://www.imdb.com/title/tt15097216/?ref_=fea_eds_center-3_IndiaTop250_18,"Crime, Drama, Mystery",Suriya,Lijo Mol Jose
Jai Bhim,8.5,2019,Gowtam Tinnanuri,Gowtam Tinnanuri,178,Drama,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,https://www.imdb.com/title/tt8948790/?ref_=fea_eds_center-3_IndiaTop250_19,"Drama, Sport",Nani,Shraddha Srinath
Jersey,8.3,2007,Aamir Khan,Amole Gupte,463,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",https://www.imdb.com/title/tt0986264/?ref_=fea_eds_center-3_IndiaTop250_20,"Drama, Family",Darsheel Safary,Aamir Khan
Like Stars on Earth,8.5,2023,Kiran Rao,Biplab Goswami,301,Comedy,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming m... Read all",https://www.imdb.com/title/tt21626284/?ref_=fea_eds_center-3_IndiaTop250_21,"Comedy, Drama",Nitanshi Goel,Pratibha Ranta
Laapataa Ladies,9.1,1957,Kadiri Venkata Reddy,Pingali Nagendra Rao,38,Comedy,"Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",https://www.imdb.com/title/tt0249795/?ref_=fea_eds_center-3_IndiaTop250_22,"Comedy, Drama",N.T. Rama Rao,S.V. Ranga Rao
Mayabazar,8.5,2018,C. Prem Kumar,Charu Gupta,510,Drama,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,https://www.imdb.com/title/tt7019842/?ref_=fea_eds_center-3_IndiaTop250_23,"Drama, Romance",Vijay Sethupathi,Adithya Bhaskar
96,8.8,2016,Mahesh Manjrekar,Abhijeet Shirish Deshpande,72,Drama,"After he retires, an aging theatre actor and his wife begin to feel unwanted by their children.",https://www.imdb.com/title/tt5311546/?ref_=fea_eds_center-3_IndiaTop250_24,"Drama, Family",Nana Patekar,Medha Manjrekar
Natsamrat,8.3,2016,Nitesh Tiwari,Piyush Gupta,497,Action,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,https://www.imdb.com/title/tt5074352/?ref_=fea_eds_center-3_IndiaTop250_25,"Action, Biography, Drama",Aamir Khan,Sakshi Tanwar
Dangal,8.4,2019,Lokesh Kanagaraj,Lokesh Kanagaraj,290,Action,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",https://www.imdb.com/title/tt9900782/?ref_=fea_eds_center-3_IndiaTop250_26,"Action, Crime, Drama",Karthi,Narain
Kaithi,8.5,2022,Hanu Raghavapudi,Hanu Raghavapudi,701,Action,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After ... Read all",https://www.imdb.com/title/tt20850406/?ref_=fea_eds_center-3_IndiaTop250_27,"Action, Drama, Mystery",Dulquer Salmaan,Mrunal Thakur
Sita Ramam,8.4,2021,Jeethu Joseph,Jeethu Joseph,1K,Crime,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,https://www.imdb.com/title/tt12361178/?ref_=fea_eds_center-3_IndiaTop250_28,"Crime, Drama, Thriller",Mohanlal,Meena
Drishyam 2,8.5,2015,Vetrimaaran,Chandrakumar,47,Crime,Four labourers are tortured by the police to confess to a theft they have not committed.,https://www.imdb.com/title/tt4991384/?ref_=fea_eds_center-3_IndiaTop250_29,"Crime, Drama, Thriller",Dinesh,Samuthirakani
Visaaranai,8.7,1992,Bharathan,Kamal Haasan,26,Action,The urbane son of a village chieftain struggles between his personal aspirations and those of his family.,https://www.imdb.com/title/tt0105575/?ref_=fea_eds_center-3_IndiaTop250_30,"Action, Drama, Romance",Kamal Haasan,Shivaji Ganesan
Thevar Magan,8.4,2019,Vetrimaaran,M.S. Manimaran,286,Action,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",https://www.imdb.com/title/tt9477520/?ref_=fea_eds_center-3_IndiaTop250_31,"Action, Drama",Dhanush,Manju Warrier
Asuran,8.8,1987,Sathyan Anthikad,Sreenivasan,11,Comedy,"After losing their jobs in Kerala, Dasan and Vijayan decide to migrate to the Middle East. But they end up in Tamil Nadu where they are mistaken as two CID officers by a group of smugglers.",https://www.imdb.com/title/tt0282778/?ref_=fea_eds_center-3_IndiaTop250_32,Comedy,Mohanlal,Sreenivasan
Nadodikkattu,8.5,1991,Mani Ratnam,Mani Ratnam,28,Action,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.,https://www.imdb.com/title/tt0101649/?ref_=fea_eds_center-3_IndiaTop250_33,"Action, Crime, Drama",Rajinikanth,Mammootty
Thalapathi,8.5,2021,Pa. Ranjith,Tamizh Prabha,465,Action,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mothe... Read all",https://www.imdb.com/title/tt11580854/?ref_=fea_eds_center-3_IndiaTop250_34,"Action, Drama, Sport",Arya,Pasupathy
Sarpatta Parambarai,8.3,2013,Jeethu Joseph,Jeethu Joseph,141,Crime,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,https://www.imdb.com/title/tt3417422/?ref_=fea_eds_center-3_IndiaTop250_35,"Crime, Drama, Thriller",Mohanlal,Meena
Drishyam,8.4,2015,Mohan Raja,Mohan Raja,60,Action,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.",https://www.imdb.com/title/tt4987556/?ref_=fea_eds_center-3_IndiaTop250_36,"Action, Crime, Thriller",Jayam Ravi,Arvind Swamy
Thani Oruvan,8.8,2001,Vijay K. Bhaskar,Trivikram Srinivas,14,Comedy,"Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him .",https://www.imdb.com/title/tt0311594/?ref_=fea_eds_center-3_IndiaTop250_37,"Comedy, Romance",Venkatesh Daggubati,Aarthi Agarwal
Nuvvu Naaku Nachchav,8.3,2005,S. Shankar,Gopal Ram,73,Action,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial el... Read all",https://www.imdb.com/title/tt0376127/?ref_=fea_eds_center-3_IndiaTop250_38,"Action, Crime, Drama",Vikram,Sada
Anniyan,8.4,2018,Vetrimaaran,Gautam Siddharth,157,Action,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.,https://www.imdb.com/title/tt5959980/?ref_=fea_eds_center-3_IndiaTop250_39,"Action, Crime, Drama",Dhanush,Ameer Sultan
Vada Chennai,8.3,1983,Kundan Shah,Ranjit Kapoor,62,Comedy,"Two photographers, who are employed by a magazine editor to expose the scandalous activities of the rich, come across corruption by a builder and accidentally photograph a murder.",https://www.imdb.com/title/tt0085743/?ref_=fea_eds_center-3_IndiaTop250_40,"Comedy, Crime, Drama",Naseeruddin Shah,Ravi Baswani
Jaane Bhi Do Yaaro,8.2,2006,Dibakar Banerjee,Jaideep Sahni,54,Comedy,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,https://www.imdb.com/title/tt0466460/?ref_=fea_eds_center-3_IndiaTop250_41,"Comedy, Crime, Drama",Anupam Kher,Boman Irani
Khosla Ka Ghosla!,8.3,2018,Ram Kumar,Ram Kumar,571,Action,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,https://www.imdb.com/title/tt7060344/?ref_=fea_eds_center-3_IndiaTop250_42,"Action, Crime, Drama",Vishnu Vishal,Amala Paul
Raatchasan,8.7,2018,Ram,Ram,425,Drama,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",https://www.imdb.com/title/tt7738784/?ref_=fea_eds_center-3_IndiaTop250_43,"Drama, Family",Mammootty,Sadhana
Peranbu,8.2,1956,Satyajit Ray,Bibhutibhushan Bandyopadhyay,59,Drama,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone.",https://www.imdb.com/title/tt0048956/?ref_=fea_eds_center-3_IndiaTop250_44,Drama,Pinaki Sengupta,Smaran Ghosal
Aparajito,8.3,2014,Anjali Menon,Anjali Menon,76,Comedy,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore.",https://www.imdb.com/title/tt3668162/?ref_=fea_eds_center-3_IndiaTop250_45,"Comedy, Drama, Romance",Dulquer Salmaan,Nivin Pauly
Bangalore Days,8.4,2021,Shoojit Sircar,Shubhendu Bhattacharya,953,Biography,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",https://www.imdb.com/title/tt10280296/?ref_=fea_eds_center-3_IndiaTop250_46,"Biography, Crime, Drama",Vicky Kaushal,Shaun Scott
Sardar Udham,8.7,1993,I.V. Sasi,Ranjith,14,Action,"Neelakandan squanders away the inheritance left by his father. However, his life turns upside down when his mother reveals a terrible secret on her deathbed that changes the course of his li... Read all",https://www.imdb.com/title/tt0291855/?ref_=fea_eds_center-3_IndiaTop250_47,"Action, Drama, Thriller",Mohanlal,Napolean
Devasuram,8.3,2015,Alphonse Puthren,Alphonse Puthren,111,Comedy,A young man has three opportunities to find love. Will the third time be the charm?,https://www.imdb.com/title/tt4679210/?ref_=fea_eds_center-3_IndiaTop250_48,"Comedy, Drama, Romance",Nivin Pauly,Sai Pallavi
Premam,8.3,1998,Ram Gopal Varma,Anurag Kashyap,77,Action,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,https://www.imdb.com/title/tt0195231/?ref_=fea_eds_center-3_IndiaTop250_49,"Action, Crime, Drama",J.D. Chakravarthi,Manoj Bajpayee
Satya,8.2,2012,Anurag Kashyap,Akhilesh Jaiswal,305,Action,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",https://www.imdb.com/title/tt1954470/?ref_=fea_eds_center-3_IndiaTop250_50,"Action, Comedy, Crime",Manoj Bajpayee,Nawazuddin Siddiqui
Gangs of Wasseypur,8.3,2019,Swaroop Rsj,Swaroop Rsj,174,Comedy,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,https://www.imdb.com/title/tt10214826/?ref_=fea_eds_center-3_IndiaTop250_51,"Comedy, Crime, Mystery",Naveen Polishetty,Shruti Sharma
Agent Sai Srinivasa Athreya,8.2,1955,Satyajit Ray,Bibhutibhushan Bandyopadhyay,203,Drama,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",https://www.imdb.com/title/tt0048473/?ref_=fea_eds_center-3_IndiaTop250_52,Drama,Kanu Bannerjee,Karuna Bannerjee
Pather Panchali,8.3,1975,Hrishikesh Mukherjee,Upendranath Ganguly,22,Comedy,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,https://www.imdb.com/title/tt0072783/?ref_=fea_eds_center-3_IndiaTop250_53,"Comedy, Drama, Romance",Dharmendra,Sharmila Tagore
Chupke Chupke,8.4,2018,Nag Ashwin,Nag Ashwin,108,Biography,"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",https://www.imdb.com/title/tt7465992/?ref_=fea_eds_center-3_IndiaTop250_54,"Biography, Drama",Keerthy Suresh,Dulquer Salmaan
Mahanati,8.6,1988,Priyadarshan,Priyadarshan,14,Comedy,A woman hires a stranger to pose as her husband because she doesn't want her ailing father to know that her fiance broke their engagement.,https://www.imdb.com/title/tt0214585/?ref_=fea_eds_center-3_IndiaTop250_55,"Comedy, Drama, Musical",Mohanlal,Nedumudi Venu
Chithram,8.2,2015,Nishikant Kamat,Jeethu Joseph,309,Crime,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",https://www.imdb.com/title/tt4430212/?ref_=fea_eds_center-3_IndiaTop250_56,"Crime, Drama, Mystery",Ajay Devgn,Shriya Saran
Drishyam,8.3,2019,Nitesh Tiwari,Piyush Gupta,736,Comedy,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",https://www.imdb.com/title/tt9052870/?ref_=fea_eds_center-3_IndiaTop250_57,"Comedy, Drama, Romance",Sushant Singh Rajput,Shraddha Kapoor
Chhichhore,8.2,2013,Rakeysh Omprakash Mehra,Prasoon Joshi,216,Biography,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",https://www.imdb.com/title/tt2356180/?ref_=fea_eds_center-3_IndiaTop250_58,"Biography, Drama, Sport",Farhan Akhtar,Kousi Orfahli
Bhaag Milkha Bhaag,8.6,1995,Bhadran,Raajendra Babu,19,Action,A small-town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.,https://www.imdb.com/title/tt0292246/?ref_=fea_eds_center-3_IndiaTop250_59,"Action, Drama",Mohanlal,Thilakan
Spadikam,8.3,1965,Vijay Anand,Vijay Anand,62,Drama,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.",https://www.imdb.com/title/tt0059246/?ref_=fea_eds_center-3_IndiaTop250_60,"Drama, Romance",Dev Anand,Waheeda Rehman
Guide,8.2,2017,Gayatri,Manikandan K.,207,Action,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a con... Read all",https://www.imdb.com/title/tt6148156/?ref_=fea_eds_center-3_IndiaTop250_61,"Action, Crime, Drama",Madhavan,Vijay Sethupathi
Vikram Vedha,8.2,2011,Zoya Akhtar,Farhan Akhtar,239,Comedy,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,https://www.imdb.com/title/tt1562872/?ref_=fea_eds_center-3_IndiaTop250_62,"Comedy, Drama, Musical",Hrithik Roshan,Farhan Akhtar
Zindagi Na Milegi Dobara,8.2,2018,Sriram Raghavan,Arijit Biswas,925,Crime,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",https://www.imdb.com/title/tt8108198/?ref_=fea_eds_center-3_IndiaTop250_63,"Crime, Mystery, Thriller",Ayushmann Khurrana,Tabu
Andhadhun,8.3,2022,Lokesh Kanagaraj,Lokesh Kanagaraj,695,Action,"A special investigator discovers a case of serial killings is not what it seems to be, and leading down this path is only going to end in a war between everyone involved.",https://www.imdb.com/title/tt9179430/?ref_=fea_eds_center-3_IndiaTop250_64,"Action, Crime, Drama",Kamal Haasan,Vijay Sethupathi
Vikram,8.2,2018,Rahi Anil Barve,Mitesh Shah,909,Drama,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,https://www.imdb.com/title/tt8239946/?ref_=fea_eds_center-3_IndiaTop250_65,"Drama, Fantasy, Horror",Sohum Shah,Jyoti Malshe
Tumbbad,8.4,1997,Mani Ratnam,Mani Ratnam,36,Biography,A struggling actor and a writer-politician become friends as young men and rise to great heights in cinema and politics respectively. But when both become contenders for the top political po... Read all,https://www.imdb.com/title/tt0119385/?ref_=fea_eds_center-3_IndiaTop250_66,"Biography, Drama",Mohanlal,Aishwarya Rai Bachchan
Iruvar,8.2,2004,Ashutosh Gowariker,M.G. Sathya,364,Drama,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,https://www.imdb.com/title/tt0367110/?ref_=fea_eds_center-3_IndiaTop250_67,"Drama, Musical",Shah Rukh Khan,Gayatri Joshi
Swades,8.3,2002,Mani Ratnam,Sujatha Rangarajan,49,Action,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists.",https://www.imdb.com/title/tt0312859/?ref_=fea_eds_center-3_IndiaTop250_68,"Action, Drama, War",Keerthana Parthiepan,Simran
Kannathil Muthamittal,8.2,2019,Thiagarajan Kumararaja,Thiagarajan Kumararaja,224,Comedy,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one... Read all",https://www.imdb.com/title/tt7019942/?ref_=fea_eds_center-3_IndiaTop250_69,"Comedy, Crime, Drama",Vijay Sethupathi,Fahadh Faasil
Super Deluxe,8.3,2024,Chidambaram,Chidambaram,115,Adventure,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back.",https://www.imdb.com/title/tt26458038/?ref_=fea_eds_center-3_IndiaTop250_70,"Adventure, Drama, Thriller",Soubin Shahir,Sreenath Bhasi
Manjummel Boys,8.2,2000,Priyadarshan,Siddique,127,Action,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",https://www.imdb.com/title/tt0242519/?ref_=fea_eds_center-3_IndiaTop250_71,"Action, Comedy, Crime",Akshay Kumar,Suniel Shetty
Hera Pheri,8.3,2016,Nagraj Manjule,Nagraj Manjule,105,Drama,"In interior Maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy.",https://www.imdb.com/title/tt5312232/?ref_=fea_eds_center-3_IndiaTop250_72,"Drama, Romance",Rinku Rajguru,Akash Thosar
Sairat,8.2,2012,Hansal Mehta,Sameer Gautam Singh,74,Biography,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",https://www.imdb.com/title/tt2181831/?ref_=fea_eds_center-3_IndiaTop250_73,"Biography, Drama",Rajkummar Rao,Prabhleen Sandhu
Shahid,8.4,1999,S. Shankar,S. Shankar,13,Action,"A man accepts a challenge to act as the Chief Minister of Tamil Nadu for one day only, and makes such a success of it that soon he is embroiled in political intrigue.",https://www.imdb.com/title/tt0220656/?ref_=fea_eds_center-3_IndiaTop250_74,"Action, Drama, Thriller",Arjun Sarja,Manisha Koirala
Mudhalvan,8.1,2003,Rajkumar Hirani,Vidhu Vinod Chopra,104,Comedy,A gangster sets out to fulfill his father's dream of becoming a doctor.,https://www.imdb.com/title/tt0374887/?ref_=fea_eds_center-3_IndiaTop250_75,"Comedy, Drama",Sanjay Dutt,Arshad Warsi
Munna Bhai M.B.B.S.,8.4,2016,Arun Prabhu Purushothaman,Arun Prabhu Purushothaman,121,Drama,A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she d... Read all,https://www.imdb.com/title/tt5867800/?ref_=fea_eds_center-3_IndiaTop250_76,Drama,Aditi Balan,Padmashri Mohammad Ali
Aruvi,8.4,2015,Jeethu Joseph,Jayamohan,20,Crime,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.,https://www.imdb.com/title/tt4429128/?ref_=fea_eds_center-3_IndiaTop250_77,"Crime, Drama, Thriller",Kamal Haasan,Gautami
Papanasam,8.3,1957,Guru Dutt,Abrar Alvi,61,Drama,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world.",https://www.imdb.com/title/tt0050870/?ref_=fea_eds_center-3_IndiaTop250_78,"Drama, Musical, Romance",Guru Dutt,Waheeda Rehman
Thirst,8.4,2021,Madonne Ashwin,Madonne Ashwin,141,Comedy,A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.,https://www.imdb.com/title/tt10687070/?ref_=fea_eds_center-3_IndiaTop250_79,"Comedy, Drama",Yogi Babu,Sheela Rajkumar
Mandela,8.1,2007,Shimit Amin,Jaideep Sahni,148,Drama,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",https://www.imdb.com/title/tt0871510/?ref_=fea_eds_center-3_IndiaTop250_80,"Drama, Family, Sport",Shah Rukh Khan,Vidya Malvade
