Movie Name,Rating,Year,Director,Writers,User Reviews,Genre,Summary,URL,Genre List,Cast 1,Cast 2
The Legend of Bhagat Singh,8.3,1995,Suresh Krishna,Suresh Krishna,28,Action,"An auto driver, Manikam, desperately tries to hide his dark underworld side to keep his promise to his father.",https://www.imdb.com/title/tt0139876/?ref_=fea_eds_center-3_IndiaTop250_110,"Action, Crime, Drama",Rajinikanth,Nagma
Baasha,8.2,2017,S.S. Rajamouli,Vijayendra Prasad,583,Action,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.",https://www.imdb.com/title/tt4849438/?ref_=fea_eds_center-3_IndiaTop250_111,"Action, Drama",Prabhas,Rana Daggubati
Baahubali 2: The Conclusion,8.1,2006,Rakeysh Omprakash Mehra,Renzil D'Silva,404,Comedy,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of f... Read all",https://www.imdb.com/title/tt0405508/?ref_=fea_eds_center-3_IndiaTop250_112,"Comedy, Crime, Drama",Aamir Khan,Soha Ali Khan
Rang De Basanti,8.3,2003,Bala,Bala,19,Action,"Chittan, a social outcast, has grown up in a cemetery. A drug dealer finds him a job in a cannabis farm. In prison, he meets a conman, Shakti. This friendship transforms him from his stony e... Read all",https://www.imdb.com/title/tt0376076/?ref_=fea_eds_center-3_IndiaTop250_113,"Action, Drama",Vikram,Suriya
Pithamagan,8.7,1989,T. Hariharan,M.T. Vasudevan Nair,45,Drama,The film offers an alternative version of the fight between two legendary Chekavars from Chanthu's perspective.,https://www.imdb.com/title/tt0230597/?ref_=fea_eds_center-3_IndiaTop250_114,"Drama, History",Mammootty,Madhavi
A Northern Story of Valor,8.1,2012,Sujoy Ghosh,Sujoy Ghosh,213,Mystery,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",https://www.imdb.com/title/tt1821480/?ref_=fea_eds_center-3_IndiaTop250_115,"Mystery, Thriller",Vidya Balan,Parambrata Chattopadhyay
Kahaani,8.0,2016,Garth Davis,Saroo Brierley,653,Biography,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",https://www.imdb.com/title/tt3741834/?ref_=fea_eds_center-3_IndiaTop250_116,"Biography, Drama",Dev Patel,Nicole Kidman
Lion,8.1,2015,Neeraj Ghaywan,Akbar Allahabadi,127,Drama,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",https://www.imdb.com/title/tt4635372/?ref_=fea_eds_center-3_IndiaTop250_117,Drama,Richa Chadha,Sanjay Mishra
Masaan,8.1,2008,Neeraj Pandey,Neeraj Pandey,167,Action,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wedne... Read all,https://www.imdb.com/title/tt1280558/?ref_=fea_eds_center-3_IndiaTop250_118,"Action, Crime, Drama",Anupam Kher,Naseeruddin Shah
A Wednesday,8.1,2001,Farhan Akhtar,Kassim Jagmagia,139,Comedy,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension... Read all",https://www.imdb.com/title/tt0292490/?ref_=fea_eds_center-3_IndiaTop250_119,"Comedy, Drama, Romance",Aamir Khan,Saif Ali Khan
