Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Pudhu Pettai,8.4,2006,K. Selvaraghavan,Action,"After running away home , Kumar falls gang slowly rises ranks criminal underworld .","Action, Crime, Drama"
Aaranya Kaandam,8.5,2010,Thiagarajan Kumararaja,Action,A mob boss must deal disgruntled mistress vanishing bag cocaine .,"Action, Comedy, Crime"
Jana Gana Mana,8.3,2022,Dijo Jose Antony,Crime,"As college professor 's brutal murder sparks student unrest , cop launches investigation lawyer seeks justice courtroom .","Crime, Drama, Thriller"
Jigarthanda,8.2,2014,Karthik Subbaraj,Comedy,An aspiring director targets ruthless gangster wants make violent gangster film . His discreet attempts research gangster fail miserably . Finally gets caught ... Read,"Comedy, Crime, Drama"
Soodhu Kavvum,8.3,2013,Nalan Kumarasamy,Comedy,"Das , team , kidnap Arumai , son politician , planning kidnapping extract money father . Problems arise , insane cop brought handle ... Read","Comedy, Crime, Thriller"
Virumandi,8.4,2004,Kamal Haasan,Action,A temperamental farmer gets embroiled bloody clan feud southern Tamil Nadu village .,"Action, Crime, Drama"
2018,8.3,2023,Jude Anthany Joseph,Action,A disaster film set 2018 Kerala Floods people walks life faced catastrophic consequences put collective efforts survive calamity .,"Action, Drama, Thriller"
Dhuruvangal Pathinaaru,8.2,2016,Karthick Naren,Crime,"A police officer retires accident case investigation . Years later , forced relive past narrates story friend 's son .","Crime, Drama, Mystery"
The Crow's Egg,8.3,2014,M. Manikandan,Comedy,Two slum kids yearn taste pizza enticed pizza shop opened near locality . What happens manage find money buy one ?,"Comedy, Drama"
Sarfarosh,8.1,1999,John Mathew Matthan,Action,"After brother killed father severely injured terrorists , young med student quits studies join Indian Police Service wipe terrorists .","Action, Crime, Drama"
Maheshinte Prathikaaram,8.3,2016,Dileesh Pothan,Comedy,"Mahesh , studio photographer studio owner gets fight loses . He ends taking revenge leads certain realizations life .","Comedy, Drama, Thriller"
Angoor,8.3,1982,Gulzar,Comedy,"Based Shakespeare 's ' A Comedy Errors ' , story identical twins ( 2 pairs ) mistaken identities .",Comedy
Theeran Adhigaram Ondru,8.2,2017,H. Vinoth,Action,"Theeran , police officer , entrusted task solve mystery behind series murders . The clue left behind murders committed pattern .","Action, Crime, Thriller"
Ustad Hotel,8.2,2012,Anwar Rasheed,Comedy,"Faisi wants go UK become professional chef circumstances force assist grandfather small restaurant Kozhikode city , changing outlook life forever .","Comedy, Drama"
Article 15,8.1,2019,Anubhav Sinha,Crime,"In rural heartlands India , upright police officer sets crusade violent caste-based crimes discrimination .","Crime, Drama, Mystery"
Baasha,8.3,1995,Suresh Krishna,Action,"An auto driver , Manikam , desperately tries hide dark underworld side keep promise father .","Action, Crime, Drama"
Baahubali 2: The Conclusion,8.2,2017,S.S. Rajamouli,Action,"Amarendra Baahubali , heir apparent throne Mahishmati , finds life relationships endangered adoptive brother Bhallaladeva conspires claim throne .","Action, Drama"
Pithamagan,8.3,2003,Bala,Action,"Chittan , social outcast , grown cemetery . A drug dealer finds job cannabis farm . In prison , meets conman , Shakti . This friendship transforms stony e ... Read","Action, Drama"
A Northern Story of Valor,8.7,1989,T. Hariharan,Drama,The film offers alternative version fight two legendary Chekavars Chanthu 's perspective .,"Drama, History"
Kahaani,8.1,2012,Sujoy Ghosh,Mystery,"A pregnant woman 's search missing husband takes London Kolkata , everyone questions denies ever met .","Mystery, Thriller"
Lion,8.0,2016,Garth Davis,Biography,"A five-year-old Indian boy adopted Australian couple getting lost hundreds kilometers home . 25 years later , sets find lost family .","Biography, Drama"
Masaan,8.1,2015,Neeraj Ghaywan,Drama,"Along India 's Ganges River , four people face prejudice , strict moral code punishing caste system confront personal tragedies .",Drama
Shershaah,8.3,2021,Vishnuvardhan,Action,"Shershaah story PVC awardee Indian soldier Capt . Vikram Batra , whose bravery unflinching courage chasing Pakistani soldiers Indian territory contributed immensely ... Read","Action, Biography, Drama"
Nil Battey Sannata,8.2,2015,Ashwiny Iyer Tiwari,Drama,A story single woman ( Mom ) dreams Daughter .,"Drama, Family"
Alai Payuthey,8.3,2000,Mani Ratnam,Drama,"After difficult romance class-divided society , love birds find marriage thought would .","Drama, Musical, Romance"
Lucia,8.3,2013,Pawan Kumar,Drama,"A man suffering insomnia tricked buying drug , Lucia , makes desires come true dreams , blurring line fantasy reality .","Drama, Sci-Fi, Thriller"
Bommarillu,8.2,2006,Bommarillu Baskar,Comedy,A young man realizes push back domineering father wants find true happiness love .,"Comedy, Drama, Romance"
Charulata,8.1,1964,Satyajit Ray,Drama,"The lonely wife newspaper editor falls love visiting cousin-in-law , shares love literature .","Drama, Romance"
