Movie Name,Rating,Year,Director,Genre,Summary,Genre List,Writers,User Reviews,URL,Cast 1,Cast 2
Satyaprem Ki Katha,6.7,2023,Sameer Vidwans,Comedy,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complemen... Read all","Comedy, Drama, Musical",,,,,
Mission Raniganj,7.1,2023,Tinu Suresh Desai,Action,Mining engineer Jaswant Singh Gill leads a challenging rescue mission to save 65 miners trapped in a flooded coal mine.,"Action, Biography, Drama",,,,,
Sirf Ek Bandaa Kaafi Hai,8,2023,Apoorv Singh Karki,Crime,A common man with honesty and integrity can take on the system when he has truth on his side.,"Crime, Drama, Thriller",,,,,
Gulmohar,7.6,2023,Rahul V. Chittella,Drama,Follows the final four days of the Batra family living in their 31-year-old family home as they move to a new city.,"Drama, Family",,,,,
Mrs. Chatterjee vs. Norway,7.3,2023,Ashima Chibber,Biography,An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,"Biography, Drama",,,,,
IB 71,7.2,2023,Sankalp Reddy,Action,A spy action thriller about the two-front war between Indian intelligence agencies and the Pakistani establishment in 1971.,"Action, Thriller",,,,,
Rocky Aur Rani Kii Prem Kahaani,6.5,2023,Karan Johar,Comedy,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for t... Read all","Comedy, Drama, Family",,,,,
Mission Majnu,7,2023,Shantanu Bagchi,Action,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","Action, Drama, History",,,,,
Ponniyin Selvan: Part Two,7.3,2023,Mani Ratnam,Action,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of south India.","Action, Adventure, Drama",,,,,
Jailer,7.1,2023,Nelson Dilipkumar,Action,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?","Action, Comedy, Crime",,,,,
Laapataa Ladies,8.5,2023,Kiran Rao,Comedy,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming m... Read all","Comedy, Drama",,,,,
Merry Christmas,6.9,2024,Sriram Raghavan,Drama,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.,"Drama, Mystery, Thriller",,,,,
Fighter,6.2,2024,Siddharth Anand,Action,A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.,"Action, Drama",,,,,
Teri Baaton Mein Aisa Uljha Jiya,6.3,2024,Amit Joshi,Comedy,"Aryan is not able to find a perfect life partner. He meets a perfect girl, Sifra, during an official assignment in the US and falls in love with her only to discover later that it's an impos... Read all","Comedy, Drama, Romance",,,,,
Indian 2,7.4,2016,Gauri Shinde,Drama,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is a... Read all","Drama, Romance",,,,,
Dear Zindagi,7.7,2005,Deepa Mehta,Drama,"Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply... Read all",Drama,,,,,
Water,7.8,2013,Ritesh Batra,Drama,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through ... Read all,"Drama, Romance",,,,,
The Lunchbox,8,1974,M.S. Sathyu,Drama,"In post-partition India, a Muslim businessman and his family struggle for their rights in a country which was once their own.",Drama,,,,,
Garm Hava,8,2003,Vishal Bhardwaj,Crime,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.,"Crime, Drama, Thriller",,,,,
Maqbool,7.8,1974,Shyam Benegal,Drama,"Belonging to a lower caste, Lakshmi and her deaf-mute husband Kishtayya serve the landlord's son, Surya. When Surya's young wife finds out about his affair with Lakshmi, they all find themse... Read all",Drama,,,,,
Ankur: The Seedling,8,1995,Aditya Chopra,Drama,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.","Drama, Romance",,,,,
Dilwale Dulhania Le Jayenge,8.3,1983,Shekhar Kapur,Drama,A happy family goes through turbulent times because of a big mistake by one of the family members.,"Drama, Family",,,,,
Masoom,7.9,2024,Imtiaz Ali,Biography,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's.","Biography, Drama, Music",,,,,
Amar Singh Chamkila,7.2,2024,Pulkit,Crime,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.,"Crime, Drama",,,,,
Bhakshak,8,2023,Nikhil Nagesh Bhat,Action,"During a train trip to New Delhi, a pair of commandos face an army of invading bandits.","Action, Crime, Drama",,,,,
Kill,6.4,TV Series,Manisha Koirala,Drama,Sanjay Leela Bhansali brings his majestic signature flair to stories of love and betrayal in the lives of courtesans in pre-independence India.,"Drama, History, Romance",,,,,
Heeramandi: The Diamond Bazaar,6.4,2024,Shirsha Guha Thakurta,Drama,"A couple on the brink of a breakup are cheating on each other with two sexy outsiders. Whilst they're waiting to reveal their secret and go their separate ways, life has other plans for them... Read all",Drama,,,,,
Do Aur Do Pyaar,8.6,2024,Blessy,Adventure,"The real-life incident of an Indian migrant worker, Najeeb Muhammad, who goes to Saudi Arabia to earn money. However, in a twist of fate, he finds himself living a slave-like existence, herd... Read all","Adventure, Drama",,,,,
The Goat Life,6,2023,Varun Grover,Comedy,"Set in the late 1990s, A 17-year old Vivek who is sent away from home to a prep school to prepare for the highly competitive IIT (""the MIT of India"") entrance examination.","Comedy, Drama",,,,,
All India Rank,7.9,2024,Aditya Suhas Jambhale,Action,"Ahead of a major constitutional decision, special agent Zooni Haksar is tasked with a secret mission to quell violence in a conflict-ridden region.","Action, Drama, Thriller",,,,,
Article 370,5.9,2024,Homi Adajania,Comedy,"During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than w... Read all","Comedy, Mystery, Romance",,,,,
Ramayana: The Legend of Prince Rama,8.9,2023,Vidhu Vinod Chopra,Biography,The real-life story IPS Officer Manoj Kumar Sharma IRS Officer Shraddha Joshi .,"Biography, Drama",Vidhu Vinod Chopra,974,https://www.imdb.com/title/tt23849204/?ref_=fea_eds_center-3_IndiaTop250_1,Vikrant Massey,Medha Shankr
12th Fail,8.7,1987,Mani Ratnam,Crime,"A common man 's struggles corrupt police force put wrong side law . He becomes , loved respected many , growing power influence exact ... Read","Crime, Drama",Balakumaran,237,https://www.imdb.com/title/tt0093603/?ref_=fea_eds_center-3_IndiaTop250_2,Kamal Haasan,Saranya Ponvannan
Nayakan,8.5,1979,Hrishikesh Mukherjee,Comedy,A man 's simple lie secure job escalates complex lies orthodox boss gets suspicious .,"Comedy, Romance",Sailesh Dey,48,https://www.imdb.com/title/tt0079221/?ref_=fea_eds_center-3_IndiaTop250_3,Amol Palekar,Utpal Dutt
Gol Maal,8.6,2003,Sundar C.,Adventure,"Two men , one young arrogant , damaged - physically spiritually - life , thrown together circumstances , find ways bound together fat ... Read","Adventure, Comedy, Drama",Kamal Haasan,116,https://www.imdb.com/title/tt0367495/?ref_=fea_eds_center-3_IndiaTop250_4,Kamal Haasan,Madhavan
Anbe Sivam,8.7,2022,Madhavan,Biography,"The story Indian Space Research Organization scientist Nambi Narayanan , framed spy arrested 1994 .","Biography, Drama",Madhavan,1100,https://www.imdb.com/title/tt9263550/?ref_=fea_eds_center-3_IndiaTop250_5,Madhavan,Simran
Rocketry: The Nambi Effect,8.7,2022,Kiranraj K,Adventure,Dharma stuck rut negative lonely lifestyle spends day comfort loneliness . A pup named Charlie enters life gives new perspective towa ... Read,"Adventure, Comedy, Drama",Kiranraj K,390,https://www.imdb.com/title/tt7466810/?ref_=fea_eds_center-3_IndiaTop250_6,Rakshit Shetty,Charlie
777 Charlie,8.7,2018,Mari Selvaraj,Drama,"A law student lower caste begins friendship classmate , girl belongs higher caste , men family start giving trouble .",Drama,Mari Selvaraj,168,https://www.imdb.com/title/tt8176054/?ref_=fea_eds_center-3_IndiaTop250_7,Kathir,Anandhi
Pariyerum Perumal,8.8,2021,Rojin Thomas,Drama,"Oliver Twist ( Indrans ) wants tech-savvy become better companion two sons , spend time phones loved ones .","Drama, Family",Rojin Thomas,541,https://www.imdb.com/title/tt10534500/?ref_=fea_eds_center-3_IndiaTop250_8,Indrans,Sreenath Bhasi
#Home,8.7,1993,Fazil,Comedy,"When forbidden room old bungalow unbolted , spirit vengeful dancer unleashed .","Comedy, Horror, Mystery",Madhu Muttam,53,https://www.imdb.com/title/tt0214915/?ref_=fea_eds_center-3_IndiaTop250_9,Mohanlal,Shobana
Manichithrathazhu,8.4,2009,Rajkumar Hirani,Comedy,"Two friends searching long lost companion . They revisit college days recall memories friend inspired think differently , even rest ... Read","Comedy, Drama",Abhijat Joshi,999,https://www.imdb.com/title/tt1187043/?ref_=fea_eds_center-3_IndiaTop250_10,Aamir Khan,Madhavan
3 Idiots,8.4,1959,Satyajit Ray,Drama,This final installment Satyajit Ray 's Apu Trilogy follows Apu 's life orphaned adult aspiring writer .,Drama,Bibhutibhushan Bandyopadhyay,62,https://www.imdb.com/title/tt0052572/?ref_=fea_eds_center-3_IndiaTop250_11,Soumitra Chatterjee,Sharmila Tagore
The World of Apu,8.9,1989,Sibi Malayil,Action,The life young man turns upside intervenes dispute order rescue father ( cop ) ruthless local outlaw .,"Action, Drama",A.K. Lohithadas,33,https://www.imdb.com/title/tt0237376/?ref_=fea_eds_center-3_IndiaTop250_12,Mohanlal,Thilakan
Kireedam,8.8,2018,Venkatesh Maha,Drama,Four unconventional love stories set town including people Kancherapalem .,Drama,Venkatesh Maha,139,https://www.imdb.com/title/tt7391996/?ref_=fea_eds_center-3_IndiaTop250_13,Radha Bessy,Subba Rao Vepada
C/o Kancharapalem,8.7,2020,Sudha Kongara,Drama,Nedumaaran Rajangam `` Maara '' sets make common man fly process takes world 's capital intensive industry several enemies stand way .,Drama,Sudha Kongara,2100,https://www.imdb.com/title/tt10189514/?ref_=fea_eds_center-3_IndiaTop250_14,Suriya,Urvashi
Soorarai Pottru,8.5,2019,Madhu C. Narayanan,Comedy,"The film revolves around four brothers share love-hate relationship . Their relationship progresses another level Saji , Boney , Franky decide help Bobby st ... Read","Comedy, Drama, Romance",Syam Pushkaran,194,https://www.imdb.com/title/tt8413338/?ref_=fea_eds_center-3_IndiaTop250_15,Shane Nigam,Soubin Shahir
Kumbalangi Nights,8.4,2004,Anurag Kashyap,Action,"A film investigations following 1993 serial Bombay bomb blasts , told different stories people involved -- police , conspirators , victims , middlemen .","Action, Crime, Drama",Anurag Kashyap,88,https://www.imdb.com/title/tt0400234/?ref_=fea_eds_center-3_IndiaTop250_16,Kay Kay Menon,Pawan Malhotra
Black Friday,9,1991,Sathyan Anthikad,Comedy,"A satire contemporary Kerala politics brothers turn local leaders rival parties , leading distress aged once-proud parents .","Comedy, Drama",Sreenivasan,17,https://www.imdb.com/title/tt0353975/?ref_=fea_eds_center-3_IndiaTop250_17,Sreenivasan,Jayaram
Sandesham,8.7,2021,T.J. Gnanavel,Crime,"When tribal man arrested case alleged theft , wife turns human-rights lawyer help bring justice .","Crime, Drama, Mystery",T.J. Gnanavel,3300,https://www.imdb.com/title/tt15097216/?ref_=fea_eds_center-3_IndiaTop250_18,Suriya,Lijo Mol Jose
Jai Bhim,8.5,2019,Gowtam Tinnanuri,Drama,A failed cricketer decides revive cricketing career late 30 's despite everyone skeptical ability .,"Drama, Sport",Gowtam Tinnanuri,178,https://www.imdb.com/title/tt8948790/?ref_=fea_eds_center-3_IndiaTop250_19,Nani,Shraddha Srinath
Jersey,8.3,2007,Aamir Khan,Drama,"An eight-year-old boy thought lazy trouble-maker , new art teacher patience compassion discover real problem behind struggles school .","Drama, Family",Amole Gupte,463,https://www.imdb.com/title/tt0986264/?ref_=fea_eds_center-3_IndiaTop250_20,Darsheel Safary,Aamir Khan
Like Stars on Earth,8.5,2023,Kiran Rao,Comedy,"The misadventures two young brides get lost train . From mistaken identities laugh-out-aloud escapades , ensuing chaos guarantees laughter galore heartwarming ... Read","Comedy, Drama",Biplab Goswami,301,https://www.imdb.com/title/tt21626284/?ref_=fea_eds_center-3_IndiaTop250_21,Nitanshi Goel,Pratibha Ranta
Laapataa Ladies,9.1,1957,Kadiri Venkata Reddy,Comedy,"Balarama promises Subhadra get daughter married son . But Pandavas loses kingdom Kaurava 's , Balarama breaks promise .","Comedy, Drama",Pingali Nagendra Rao,38,https://www.imdb.com/title/tt0249795/?ref_=fea_eds_center-3_IndiaTop250_22,N.T. Rama Rao,S.V. Ranga Rao
Mayabazar,8.5,2018,C. Prem Kumar,Drama,Two high school sweethearts meet reunion 22 years reminisce past .,"Drama, Romance",Charu Gupta,510,https://www.imdb.com/title/tt7019842/?ref_=fea_eds_center-3_IndiaTop250_23,Vijay Sethupathi,Adithya Bhaskar
96,8.8,2016,Mahesh Manjrekar,Drama,"After retires , aging theatre actor wife begin feel unwanted children .","Drama, Family",Abhijeet Shirish Deshpande,72,https://www.imdb.com/title/tt5311546/?ref_=fea_eds_center-3_IndiaTop250_24,Nana Patekar,Medha Manjrekar
Natsamrat,8.3,2016,Nitesh Tiwari,Action,Former wrestler Mahavir Singh Phogat two wrestler daughters struggle towards glory Commonwealth Games face societal oppression .,"Action, Biography, Drama",Piyush Gupta,497,https://www.imdb.com/title/tt5074352/?ref_=fea_eds_center-3_IndiaTop250_25,Aamir Khan,Sakshi Tanwar
Dangal,8.4,2019,Lokesh Kanagaraj,Action,"Dilli , ex-convict , endeavours meet daughter first time leaving prison . However , attempts interrupted due drug raid planned Inspector Bejoy .","Action, Crime, Drama",Lokesh Kanagaraj,290,https://www.imdb.com/title/tt9900782/?ref_=fea_eds_center-3_IndiaTop250_26,Karthi,Narain
Kaithi,8.5,2022,Hanu Raghavapudi,Action,"An orphan soldier , Lieutenant Ram 's life changes , gets letter girl named Sita . He meets love blossoms . When comes back camp Kashmir , After ... Read","Action, Drama, Mystery",Hanu Raghavapudi,701,https://www.imdb.com/title/tt20850406/?ref_=fea_eds_center-3_IndiaTop250_27,Dulquer Salmaan,Mrunal Thakur
Sita Ramam,8.4,2021,Jeethu Joseph,Crime,A gripping tale investigation family threatened . Will Georgekutty able protect family time ?,"Crime, Drama, Thriller",Jeethu Joseph,1000,https://www.imdb.com/title/tt12361178/?ref_=fea_eds_center-3_IndiaTop250_28,Mohanlal,Meena
Drishyam 2,8.5,2015,Vetrimaaran,Crime,Four labourers tortured police confess theft committed .,"Crime, Drama, Thriller",Chandrakumar,47,https://www.imdb.com/title/tt4991384/?ref_=fea_eds_center-3_IndiaTop250_29,Dinesh,Samuthirakani
Visaaranai,8.7,1992,Bharathan,Action,The urbane son village chieftain struggles personal aspirations family .,"Action, Drama, Romance",Kamal Haasan,26,https://www.imdb.com/title/tt0105575/?ref_=fea_eds_center-3_IndiaTop250_30,Kamal Haasan,Shivaji Ganesan
Thevar Magan,8.4,2019,Vetrimaaran,Action,"The teenage son farmer underprivileged caste kills rich , upper caste landlord . How pacifist farmer saves hot-blooded son rest story .","Action, Drama",M.S. Manimaran,286,https://www.imdb.com/title/tt9477520/?ref_=fea_eds_center-3_IndiaTop250_31,Dhanush,Manju Warrier
Asuran,8.8,1987,Sathyan Anthikad,Comedy,"After losing jobs Kerala , Dasan Vijayan decide migrate Middle East . But end Tamil Nadu mistaken two CID officers group smugglers .",Comedy,Sreenivasan,11,https://www.imdb.com/title/tt0282778/?ref_=fea_eds_center-3_IndiaTop250_32,Mohanlal,Sreenivasan
Nadodikkattu,8.5,1991,Mani Ratnam,Action,An orphan named Surya raised slum befriends good crime boss named Devaraj works . Their existence threatened new honest district collector arrives .,"Action, Crime, Drama",Mani Ratnam,28,https://www.imdb.com/title/tt0101649/?ref_=fea_eds_center-3_IndiaTop250_33,Rajinikanth,Mammootty
Thalapathi,8.5,2021,Pa. Ranjith,Action,"When Sarpatta Parambarai challenged do-or-die match , Kabilan , young labourer , put gloves lead clan victory , dissuaded disapproving mothe ... Read","Action, Drama, Sport",Tamizh Prabha,465,https://www.imdb.com/title/tt11580854/?ref_=fea_eds_center-3_IndiaTop250_34,Arya,Pasupathy
Sarpatta Parambarai,8.3,2013,Jeethu Joseph,Crime,A man goes extreme lengths save family punishment family commits accidental crime .,"Crime, Drama, Thriller",Jeethu Joseph,141,https://www.imdb.com/title/tt3417422/?ref_=fea_eds_center-3_IndiaTop250_35,Mohanlal,Meena
Drishyam,8.4,2015,Mohan Raja,Action,"Siddharth Abimanyu , influential scientist , involved various illegal medical practices . Mithran , efficient IPS officer , decides expose .","Action, Crime, Thriller",Mohan Raja,60,https://www.imdb.com/title/tt4987556/?ref_=fea_eds_center-3_IndiaTop250_36,Jayam Ravi,Arvind Swamy
Thani Oruvan,8.8,2001,Vijay K. Bhaskar,Comedy,"Venkateswarlu , aka Venky , comes Hyderabad father 's friend 's house meets engaged girl . Things turn upside expresses love .","Comedy, Romance",Trivikram Srinivas,14,https://www.imdb.com/title/tt0311594/?ref_=fea_eds_center-3_IndiaTop250_37,Venkatesh Daggubati,Aarthi Agarwal
Nuvvu Naaku Nachchav,8.3,2005,S. Shankar,Action,"Ramanujam , suffers multiple personality disorder , works lawyer day vigilante night , using tips 'Garuda Purana ' tools punish various antisocial el ... Read","Action, Crime, Drama",Gopal Ram,73,https://www.imdb.com/title/tt0376127/?ref_=fea_eds_center-3_IndiaTop250_38,Vikram,Sada
Anniyan,8.4,2018,Vetrimaaran,Action,A young carrom player north Chennai becomes reluctant participant war two warring gangsters .,"Action, Crime, Drama",Gautam Siddharth,157,https://www.imdb.com/title/tt5959980/?ref_=fea_eds_center-3_IndiaTop250_39,Dhanush,Ameer Sultan
