Movie Name,Rating,Year,Director,Genre,Summary,Genre List,Writers,User Reviews,URL,Cast 1,Cast 2
Pink,8.1,1964,Satyajit Ray,Drama,"The lonely wife newspaper editor falls love visiting cousin-in-law , shares love literature .","Drama, Romance",Rabindranath Tagore,43,https://www.imdb.com/title/tt0057935/?ref_=fea_eds_center-3_IndiaTop250_131,Soumitra Chatterjee,Madhavi Mukherjee
Charulata,8.1,1992,Mani Ratnam,Drama,"A woman village Tamil Nadu marries sophisticated city dweller moves Kashmir , rosy - gets kidnapped militants .","Drama, Romance, Thriller",Mani Ratnam,23,https://www.imdb.com/title/tt0105271/?ref_=fea_eds_center-3_IndiaTop250_132,Arvind Swamy,Madhoo
Roja,8.3,2023,Vetrimaaran,Action,A police officer recruited capture leader separatist group .,"Action, Crime, Drama",Jayamohan,73,https://www.imdb.com/title/tt11396310/?ref_=fea_eds_center-3_IndiaTop250_133,Soori,Vijay Sethupathi
Viduthalai: Part 1,8,2006,Vishal Bhardwaj,Action,A politically-minded enforcer 's misguided trust lieutenant leads suspect wife infidelity adaptation Shakespeare 's 'Othello ' .,"Action, Crime, Drama",Vishal Bhardwaj,94,https://www.imdb.com/title/tt0488414/?ref_=fea_eds_center-3_IndiaTop250_134,Ajay Devgn,Kareena Kapoor
Omkara,8.1,1995,Mani Ratnam,Drama,"A Hindu man Muslim woman fall love small village move Mumbai , two children . However , growing religious tensions erupting riots threaten tear f ... Read","Drama, Romance",Mani Ratnam,39,https://www.imdb.com/title/tt0112553/?ref_=fea_eds_center-3_IndiaTop250_135,Arvind Swamy,Manisha Koirala
Bombay,8.1,2019,Ajay Bahl,Crime,"A celebrated Bollywood director Rohan Khurana stands accused female member crew , Anjali Dangle raped residence .","Crime, Drama, Mystery",Manish Gupta,234,https://www.imdb.com/title/tt8144834/?ref_=fea_eds_center-3_IndiaTop250_136,Akshaye Khanna,Richa Chadha
Section 375,8.1,1996,S. Shankar,Action,A veteran freedom fighter enraged rising crime corruption society murders wrong doers one one using ancient martial arts technique .,"Action, Drama, Thriller",S. Shankar,26,https://www.imdb.com/title/tt0116630/?ref_=fea_eds_center-3_IndiaTop250_137,Kamal Haasan,Sukanya
Indian,8.2,1999,K.S. Ravikumar,Action,"The death Padaiyappa 's father destroys family . But luck changes , able lead prosperous life , nemesis plots ruin happiness .","Action, Comedy, Drama",K.S. Ravikumar,10,https://www.imdb.com/title/tt0213969/?ref_=fea_eds_center-3_IndiaTop250_138,Shivaji Ganesan,Rajinikanth
Padaiyappa,8.2,2008,Gautham Vasudev Menon,Action,"A father son help growing , romance , tragedy , adventure .","Action, Drama, Musical",Meghana Karthik,59,https://www.imdb.com/title/tt1180583/?ref_=fea_eds_center-3_IndiaTop250_139,Suriya,Simran
Vaaranam Aayiram,8.2,2018,Prashanth Neel,Action,"In 1970s , gangster named Rocky goes undercover slave assassinate owner notorious gold mine known Kolar Gold Fields .","Action, Crime, Drama",M Chandramouli,1300,https://www.imdb.com/title/tt7838252/?ref_=fea_eds_center-3_IndiaTop250_140,Yash,Srinidhi Shetty
K.G.F: Chapter 1,8,1995,Aditya Chopra,Drama,"When Raj meets Simran Europe , n't love first sight Simran moves India arranged marriage , love makes presence felt .","Drama, Romance",Aditya Chopra,184,https://www.imdb.com/title/tt0112870/?ref_=fea_eds_center-3_IndiaTop250_141,Shah Rukh Khan,Kajol
Dilwale Dulhania Le Jayenge,8.2,2018,Sukumar,Action,Chitti Babu begins suspect elder brother 's life danger team lock horns village president overthrow unlawful 30 year old regime .,"Action, Drama",Sukumar,195,https://www.imdb.com/title/tt7392212/?ref_=fea_eds_center-3_IndiaTop250_142,Ram Charan,Samantha Ruth Prabhu
Rangasthalam,8.2,2005,Trivikram Srinivas,Action,"A gunman hire framed murder , assumes dead man 's identity hiding police .","Action, Crime, Drama",Trivikram Srinivas,36,https://www.imdb.com/title/tt0471571/?ref_=fea_eds_center-3_IndiaTop250_143,Mahesh Babu,Trisha Krishnan
Athadu,8.1,1960,K. Asif,Drama,A 16th century prince falls love court dancer battles emperor father .,"Drama, Romance, War",K. Asif,46,https://www.imdb.com/title/tt0054098/?ref_=fea_eds_center-3_IndiaTop250_144,Prithviraj Kapoor,Madhubala
Mughal-E-Azam,8,1994,Rajkumar Santoshi,Action,Two slackers competing affections heiress inadvertently become protectors evil criminal .,"Action, Comedy, Romance",Rajkumar Santoshi,138,https://www.imdb.com/title/tt0109117/?ref_=fea_eds_center-3_IndiaTop250_145,Aamir Khan,Salman Khan
Andaz Apna Apna,8.1,2019,Magizh Thirumeni,Action,The murder youngster creates confusion among cops discover suspect lookalike .,"Action, Crime, Drama",Magizh Thirumeni,94,https://www.imdb.com/title/tt7822438/?ref_=fea_eds_center-3_IndiaTop250_146,Arun Vijay,Tanya Hope
Thadam,8,2014,Vishal Bhardwaj,Action,"A young man returns Kashmir father 's disappearance confront uncle , suspects playing role father 's fate .","Action, Crime, Drama",William Shakespeare,284,https://www.imdb.com/title/tt3390572/?ref_=fea_eds_center-3_IndiaTop250_147,Shahid Kapoor,Tabu
Haider,8.1,2021,Jeo Baby,Comedy,"After marriage , woman struggles submissive wife husband family expect . The story follows journey , changes , even , changes ... Read","Comedy, Drama",Jeo Baby,267,https://www.imdb.com/title/tt13299890/?ref_=fea_eds_center-3_IndiaTop250_148,Nimisha Sajayan,Suraj Venjaramoodu
The Great Indian Kitchen,8.2,2023,Shouryuv,Drama,A single father begins narrate story missing mother child nothing remains .,"Drama, Family, Romance",Vamshi Bommena,157,https://www.imdb.com/title/tt25433734/?ref_=fea_eds_center-3_IndiaTop250_149,Nani,Mrunal Thakur
Hi Nanna,8.2,2016,Tharun Bhascker Dhaassyam,Comedy,A wannabe businesswoman happy-go-lucky guy meet arranged marriage blind date eventually team start food truck .,"Comedy, Drama, Romance",Tharun Bhascker Dhaassyam,25,https://www.imdb.com/title/tt5824826/?ref_=fea_eds_center-3_IndiaTop250_150,Abhay Bethiganti,Keshav Deepak
Pelli Choopulu,8.2,2022,Rishab Shetty,Action,"When greed paves way betrayal , scheming murder , young tribal reluctantly dons traditions ancestors seek justice .","Action, Adventure, Drama",Manish Bhavan,1200,https://www.imdb.com/title/tt15327088/?ref_=fea_eds_center-3_IndiaTop250_151,Rishab Shetty,Kishore Kumar G.
Kantara,8,2013,Neeraj Pandey,Crime,A gang con-men rob prominent rich businessmen politicians posing C.B.I income tax officers .,"Crime, Drama, Thriller",Neeraj Pandey,148,https://www.imdb.com/title/tt2377938/?ref_=fea_eds_center-3_IndiaTop250_152,Akshay Kumar,Anupam Kher
Special 26,8.2,2023,S.U. Arun Kumar,Drama,"A man raising niece like daughter , everything appears normal life little girl goes missing .","Drama, Thriller",S.U. Arun Kumar,51,https://www.imdb.com/title/tt27540185/?ref_=fea_eds_center-3_IndiaTop250_153,Siddharth,Sahasra Sree
Chithha,8,2003,Vishal Bhardwaj,Crime,The intrigue Shakespearean tragedy 'Macbeth ' transposed Mumbai underworld .,"Crime, Drama, Thriller",Abbas Tyrewala,44,https://www.imdb.com/title/tt0379370/?ref_=fea_eds_center-3_IndiaTop250_154,Irrfan Khan,Tabu
Maqbool,8.2,2021,Venkat Prabhu,Action,"On day public conference state 's Chief Minister , bodyguard police officer stuck time loop .","Action, Adventure, Sci-Fi",Venkat Prabhu,287,https://www.imdb.com/title/tt4983780/?ref_=fea_eds_center-3_IndiaTop250_155,Silambarasan Rajendar,S.J. Suryah
Maanaadu,8.4,2014,Rakshit Shetty,Crime,"A journalist sets uncover truth behind incident , perspectives different people , unraveling lives intertwined .","Crime, Drama, Thriller",Rakshit Shetty,71,https://www.imdb.com/title/tt3394420/?ref_=fea_eds_center-3_IndiaTop250_156,Rakshit Shetty,Rishab Shetty
Ulidavaru Kandanthe,8,2009,Anurag Kashyap,Crime,"A law student witnesses deception , homicide , crime elected General Secretary college .","Crime, Drama, Thriller",Raj Singh Chaudhary,71,https://www.imdb.com/title/tt1261047/?ref_=fea_eds_center-3_IndiaTop250_157,Kay Kay Menon,Raj Singh Chaudhary
Gulaal,8,2023,Apoorv Singh Karki,Crime,A common man honesty integrity take system truth side .,"Crime, Drama, Thriller",Deepak Kingrani,371,https://www.imdb.com/title/tt24485052/?ref_=fea_eds_center-3_IndiaTop250_158,Manoj Bajpayee,Adrija Sinha
Sirf Ek Bandaa Kaafi Hai,8.1,2011,Vetrimaaran,Action,Falling love Irene well refusing obey boss Pettaikaran rooster fight complicates Karuppu 's life .,"Action, Drama, Romance",Meghana Karthik,19,https://www.imdb.com/title/tt1821317/?ref_=fea_eds_center-3_IndiaTop250_159,Dhanush,Taapsee Pannu
Aadukalam,8.2,2012,Balaji Tharaneetharan,Comedy,"A young man forgets years life , even get married .","Comedy, Drama",Balaji Tharaneetharan,18,https://www.imdb.com/title/tt2564144/?ref_=fea_eds_center-3_IndiaTop250_160,Vijay Sethupathi,Gayathrie
Naduvula Konjam Pakkatha Kaanom,8.1,1968,Jyoti Swaroop,Comedy,A simple man village falls love new neighbor . He enlists help musical-theater friends woo lovely girl-next-door away music teacher .,"Comedy, Musical, Romance",Rajendra Krishan,28,https://www.imdb.com/title/tt0063404/?ref_=fea_eds_center-3_IndiaTop250_161,Sunil Dutt,Saira Banu
Padosan,8.1,2017,Lokesh Kanagaraj,Action,Four youngsters arrive big city lives become interlinked .,"Action, Thriller",Lokesh Kanagaraj,33,https://www.imdb.com/title/tt5559528/?ref_=fea_eds_center-3_IndiaTop250_162,Sundeep Kishan,Sri
Maanagaram,8.3,2022,Prashanth Neel,Action,"In blood-soaked Kolar Gold Fields , Rocky 's name strikes fear foes , government sees threat law order . Rocky must battle threats sides uncha ... Read","Action, Crime, Drama",Prashanth Neel,1900,https://www.imdb.com/title/tt10698680/?ref_=fea_eds_center-3_IndiaTop250_163,Yash,Sanjay Dutt
K.G.F: Chapter 2,8,1999,Mahesh Manjrekar,Action,Consequences force innocent man get involved crime making error .,"Action, Crime, Drama",Imtiaz Hussain,25,https://www.imdb.com/title/tt0220832/?ref_=fea_eds_center-3_IndiaTop250_164,Sanjay Dutt,Namrata Shirodkar
Vaastav: The Reality,8,1975,Yash Chopra,Action,"Vijay struggles dockworker eventually becomes leading figure underworld , younger brother Ravi educated , upright policeman . This divide causes problems th ... Read","Action, Crime, Drama",Javed Akhtar,38,https://www.imdb.com/title/tt0072860/?ref_=fea_eds_center-3_IndiaTop250_165,Amitabh Bachchan,Shashi Kapoor
Deewaar,8.2,2023,Hemanth M. Rao,Drama,"Manu Priya hail middle-class background fall love . When circumstances land Manu jail , relationship Priya put jeopardy .","Drama, Romance",Hemanth M. Rao,88,https://www.imdb.com/title/tt11992424/?ref_=fea_eds_center-3_IndiaTop250_166,Rakshit Shetty,Rukmini Vasanth
Saptha Sagaradaache Ello - Side A,8,2002,Ram Gopal Varma,Action,"A small-time gangster named Chandu teams Malik , low-level enforcer criminal syndicate . Together eliminate enemies , becoming feared gangsters Mumbai ... Read","Action, Crime, Drama",H. Banerjee,47,https://www.imdb.com/title/tt0296574/?ref_=fea_eds_center-3_IndiaTop250_167,Ajay Devgn,Mohanlal
Company,8.2,2016,Ravikanth Perepu,Mystery,"Rishi , non-resident Indian , returns India help ex-lover find kidnapped daughter .","Mystery, Thriller",Adivi Sesh,22,https://www.imdb.com/title/tt5504168/?ref_=fea_eds_center-3_IndiaTop250_168,Adivi Sesh,Adah Sharma
Kshanam,8.6,2024,Blessy,Adventure,"The real-life incident Indian migrant worker , Najeeb Muhammad , goes Saudi Arabia earn money . However , twist fate , finds living slave-like existence , herd ... Read","Adventure, Drama",Benyamin,141,https://www.imdb.com/title/tt5525650/?ref_=fea_eds_center-3_IndiaTop250_169,Prithviraj Sukumaran,Jimmy Jean-Louis
The Goat Life,8.1,2021,Martin Prakkat,Crime,"Three police officers run life , escaping outbreak due unlawful arrest torture civilian . It brings shades arrogant yet much ... Read","Crime, Thriller",Shahi Kabir,164,https://www.imdb.com/title/tt11604676/?ref_=fea_eds_center-3_IndiaTop250_170,Kunchacko Boban,Joju George
Nayattu,8.1,2019,Venkat Ramji,Crime,Sub-inspector Vikram Vasudev entrusted task investigating murder high ranking officer killed alleged rape victim . When delves deeper case h ... Read,"Crime, Drama, Mystery",Venkat Ramji,95,https://www.imdb.com/title/tt10545484/?ref_=fea_eds_center-3_IndiaTop250_171,Adivi Sesh,Regina Cassandra
Evaru,8.3,2021,Raj B. Shetty,Crime,"Set backdrop coastal cultural city modern-day Mangaluru , Hari soulmate Shiva rise together great heights face bitter enemies resulting ... Read","Crime, Drama, Thriller",Raj B. Shetty,168,https://www.imdb.com/title/tt11953248/?ref_=fea_eds_center-3_IndiaTop250_172,Raj B. Shetty,Rishab Shetty
Garuda Gamana Vrishabha Vahana,8,2015,Martin Prakkat,Adventure,"A young , nonconforming woman named Tessa gets entangled cat-and-mouse chase by-lanes Kerala , hunting mysterious artist previously lived apartment .","Adventure, Drama, Romance",Martin Prakkat,78,https://www.imdb.com/title/tt5082014/?ref_=fea_eds_center-3_IndiaTop250_173,Dulquer Salmaan,Parvathy Thiruvothu
Charlie,7.9,2013,Anurag Kashyap,Crime,The case missing girl takes us journey human greed brushes upon egos repressed emotions characters .,"Crime, Drama, Mystery",Akhilesh Jaiswal,132,https://www.imdb.com/title/tt2882328/?ref_=fea_eds_center-3_IndiaTop250_174,Rahul Bhat,Ronit Roy
Ugly,8.3,2010,Ranjith,Comedy,Pranchiyettan successful businessman often talks imaginary St. Francis Assisi . The story deals goes changing embarrassing image making name ... Read,"Comedy, Drama",Ranjith,13,https://www.imdb.com/title/tt1695800/?ref_=fea_eds_center-3_IndiaTop250_175,Mammootty,Priyamani
Pranchiyettan and the Saint,7.9,2018,Amit Ravindernath Sharma,Comedy,A man embarrassed finds mother pregnant .,"Comedy, Drama",Akshat Ghildial,258,https://www.imdb.com/title/tt7725596/?ref_=fea_eds_center-3_IndiaTop250_176,Ayushmann Khurrana,Neena Gupta
Badhaai Ho,8,2020,Sachy,Action,"The story revolves around clash Ayyappan , senior police officer serves Attappadi Police Station Havildar Koshi , comes village motive .","Action, Drama, Thriller",Sachy,122,https://www.imdb.com/title/tt11322920/?ref_=fea_eds_center-3_IndiaTop250_177,Biju Menon,Prithviraj Sukumaran
Ayyappanum Koshiyum,8,2016,Mathur Goswami,Biography,The untold story Mahendra Singh Dhoni 's journey ticket collector trophy collector - world-cup-winning captain Indian Cricket Team .,"Biography, Drama, Sport",Neeraj Pandey,265,https://www.imdb.com/title/tt4169250/?ref_=fea_eds_center-3_IndiaTop250_178,Sushant Singh Rajput,Kiara Advani
M.S. Dhoni: The Untold Story,8.2,2011,A.L. Vijay,Drama,"A man disabilities fights custody 7-year-old daughter , process teaches opponent lawyer value love family .",Drama,Vijay,49,https://www.imdb.com/title/tt1857670/?ref_=fea_eds_center-3_IndiaTop250_179,Vikram,Anushka Shetty
Deiva Thirumagal,8.1,2011,Srijit Mukherji,Action,An ex-cop hired track serial killer carries killings according Bengali poetry .,"Action, Crime, Drama",Annapurna Basu,22,https://www.imdb.com/title/tt2075108/?ref_=fea_eds_center-3_IndiaTop250_180,Prasenjit Chatterjee,Parambrata Chattopadhyay
22 Shey Shraban,7.9,2010,Karan Johar,Adventure,An Indian Muslim man Asperger 's syndrome takes challenge speak President United States seriously embarks cross-country journey .,"Adventure, Drama, Romance",Shibani Bathija,361,https://www.imdb.com/title/tt1188996/?ref_=fea_eds_center-3_IndiaTop250_181,Shah Rukh Khan,Kajol
My Name Is Khan,8.1,2017,Dileesh Pothan,Crime,"Prasad Sreeja enter wedlock move new place continue rest lives . Unfortunate events begin take place Prasad , small-time thief , robs Sreeja 's gold chain ... Read","Crime, Drama, Thriller",Sajeev Pazhoor,39,https://www.imdb.com/title/tt5906392/?ref_=fea_eds_center-3_IndiaTop250_182,Fahadh Faasil,Suraj Venjaramoodu
Thondi Muthalum Driksakshiyum,7.9,2019,Zoya Akhtar,Drama,A coming-of-age story based lives street rappers Mumbai .,"Drama, Music, Romance",Zoya Akhtar,493,https://www.imdb.com/title/tt2395469/?ref_=fea_eds_center-3_IndiaTop250_183,Ranveer Singh,Alia Bhatt
Gully Boy,8,2012,Anand Gandhi,Drama,"The film explores questions identity , justice , beauty , meaning death experimental photographer , ailing monk young stockbroker .",Drama,Anand Gandhi,80,https://www.imdb.com/title/tt1773764/?ref_=fea_eds_center-3_IndiaTop250_184,Aydah El-Kashef,Yogesh Shah
Ship of Theseus,8.1,2017,Mahesh Narayanan,Action,"In 2014 , group Malayali nurses captured terrorists took city Tikrit Iraq . This movie recounts ordeal suffered nurses following capture .","Action, Drama, Thriller",Mahesh Narayanan,29,https://www.imdb.com/title/tt6315524/?ref_=fea_eds_center-3_IndiaTop250_185,Parvathy Thiruvothu,Fahadh Faasil
Take Off,8.1,2022,Sashi Kiran Tikka,Action,"Based life Major Sandeep Unnikrishnan , martyred action November 2008 Mumbai attacks .","Action, Biography, Drama",Adivi Sesh,708,https://www.imdb.com/title/tt9851854/?ref_=fea_eds_center-3_IndiaTop250_186,Adivi Sesh,Prakash Raj
Major,7.9,2003,Nikkhil Advani,Comedy,"Naina , introverted , perpetually depressed girl 's life changes meets Aman . But Aman secret changes lives forever . Embroiled Rohit , Nain ... Read","Comedy, Drama, Musical",Niranjan Iyengar,194,https://www.imdb.com/title/tt0347304/?ref_=fea_eds_center-3_IndiaTop250_187,Preity G Zinta,Shah Rukh Khan
Kal Ho Naa Ho,7.9,2007,Imtiaz Ali,Comedy,A depressed wealthy businessman finds life changing meets spunky care-free young woman .,"Comedy, Drama, Romance",Imtiaz Ali,126,https://www.imdb.com/title/tt1093370/?ref_=fea_eds_center-3_IndiaTop250_188,Shahid Kapoor,Kareena Kapoor
Jab We Met,8.1,2010,Radha Krishna Jagarlamudi,Action,"Stories 5 people , educated slum dweller , aspiring rock star , old villager , prostitute ostracized Muslim man ; lead night hospital filled jeopardy .","Action, Drama",Radha Krishna Jagarlamudi,29,https://www.imdb.com/title/tt1649431/?ref_=fea_eds_center-3_IndiaTop250_189,Allu Arjun,Anushka Shetty
Vedam,7.9,2009,Anurag Kashyap,Comedy,"After breaking childhood sweetheart , young man finds solace drugs . Meanwhile , teenage girl caught world prostitution . Will destroyed , fin ... Read","Comedy, Drama, Romance",Sarat Chandra Chattopadhyay,140,https://www.imdb.com/title/tt1327035/?ref_=fea_eds_center-3_IndiaTop250_190,Abhay Deol,Mahie Gill
Dev.D,8,2015,Ketan Mehta,Biography,"Using hammer chisel , man spends twenty-two years carving road treacherous mountain .","Biography, Drama",Shahzad Ahmed,87,https://www.imdb.com/title/tt3449292/?ref_=fea_eds_center-3_IndiaTop250_191,Nawazuddin Siddiqui,Radhika Apte
Manjhi: The Mountain Man,7.9,1997,J.P. Dutta,Action,"In 1971 , along border region Longewala , small battalion Indian soldiers goes large Pakistani strike force .","Action, Drama, History",J.P. Dutta,48,https://www.imdb.com/title/tt0118751/?ref_=fea_eds_center-3_IndiaTop250_192,Sunny Deol,Suniel Shetty
Border,8.1,2022,Gautham Ramachandran,Drama,The journey young school teacher prove father 's innocence help juvenile advocate 's never even seen interiors court hall .,"Drama, Thriller",Hariharan Raju,90,https://www.imdb.com/title/tt21261388/?ref_=fea_eds_center-3_IndiaTop250_193,Sai Pallavi,Kaali Venkat
Gargi,8,2017,Anurag Kashyap,Action,A boxer struggles make mark boxing world .,"Action, Drama, Sport",Anudeep Singh,81,https://www.imdb.com/title/tt7180544/?ref_=fea_eds_center-3_IndiaTop250_194,Vineet Kumar Singh,Jimmy Shergill
The Brawler,8.2,2016,Rishab Shetty,Comedy,"Kirik Party story gang mischievous students , lead protagonist Karna ( Rakshit Shetty ) , joined engineering college .","Comedy, Drama, Romance",Rakshit Shetty,34,https://www.imdb.com/title/tt6054758/?ref_=fea_eds_center-3_IndiaTop250_195,Rakshit Shetty,Rashmika Mandanna
Kirik Party,8,2023,Vignesh Raja,Action,A bright faint-hearted rookie cop overcome fears order succeed first case sees partnered reclusive senior officer catch serial killer ... Read,"Action, Crime, Thriller",Alfred Prakash,81,https://www.imdb.com/title/tt27542289/?ref_=fea_eds_center-3_IndiaTop250_196,R. Sarathkumar,Lisha Chinnu
Por Thozhil,8.1,2022,Vineeth Sreenivasan,Drama,"The emotional journey Arun , carefree bachelor days engineering college , matures various phases life .","Drama, Musical, Romance",Vineeth Sreenivasan,251,https://www.imdb.com/title/tt11375428/?ref_=fea_eds_center-3_IndiaTop250_197,Pranav Mohanlal,Kalyani Priyadarshan
Hridayam,8.1,2010,Gautham Vasudev Menon,Drama,An aspiring filmmaker goes ups downs romance falls Christian woman says wants friends .,"Drama, Romance",Gautham Vasudev Menon,46,https://www.imdb.com/title/tt1609168/?ref_=fea_eds_center-3_IndiaTop250_198,Silambarasan Rajendar,Trisha Krishnan
Vinnaithaandi Varuvaayaa,8,2015,S.S. Rajamouli,Action,"A child Mahishmati kingdom raised tribal people one day learns royal heritage , father 's bravery battle mission overthrow incumbent ruler .","Action, Drama",Vijayendra Prasad,609,https://www.imdb.com/title/tt2631186/?ref_=fea_eds_center-3_IndiaTop250_199,Prabhas,Rana Daggubati
Baahubali: The Beginning,8,2023,Karthik Subbaraj,Action,"In 1975 , filmmaker agrees collaborate film gangster wishes become famous actor .","Action, Comedy, Drama",Karthik Subbaraj,57,https://www.imdb.com/title/tt24226474/?ref_=fea_eds_center-3_IndiaTop250_200,Raghava Lawrence,S.J. Suryah
Jigarthanda Double X,7.9,1988,Mira Nair,Crime,"Young Krishna struggles survive among drug dealers , pimps , prostitutes back alleys gutters India .","Crime, Drama",Mira Nair,75,https://www.imdb.com/title/tt0096028/?ref_=fea_eds_center-3_IndiaTop250_201,Shafiq Syed,Anjaan
Salaam Bombay!,8,2021,Mari Selvaraj,Action,"Karnan , fearless village youth , must fight rights conservative people village , due torture given police officer .","Action, Drama",Mari Selvaraj,362,https://www.imdb.com/title/tt11581174/?ref_=fea_eds_center-3_IndiaTop250_202,Dhanush,Lal
Karnan,8.3,2020,Mukesh Chhabra,Comedy,"The emotional journey two hopelessly-in-love youngsters ; young girl , Kizie , suffering cancer ; Manny , boy Kizie meets support group .","Comedy, Drama, Romance",Shashank Khaitan,7700,https://www.imdb.com/title/tt8110330/?ref_=fea_eds_center-3_IndiaTop250_203,Sushant Singh Rajput,Sanjana Sanghi
Dil Bechara,8.1,2011,Rajesh Pillai,Action,The lives different people get intertwined girl urgent need heart transplant heart donor many miles traffic away .,"Action, Adventure, Mystery",Bobby,14,https://www.imdb.com/title/tt1821682/?ref_=fea_eds_center-3_IndiaTop250_204,Sreenivasan,Kunchacko Boban
Traffic,7.9,2019,Vikas Bahl,Biography,Based life Patna-based mathematician Anand Kumar runs famed Super 30 program IIT aspirants Patna .,"Biography, Drama",Sanjeev Dutta,616,https://www.imdb.com/title/tt7485048/?ref_=fea_eds_center-3_IndiaTop250_205,Hrithik Roshan,Mrunal Thakur
Super 30,7.9,2000,Kamal Haasan,Crime,Saketh Ram 's wife raped killed direct action day riots Calcutta . He convinced Mahatma Gandhi responsible problems happening country sets ou ... Read,"Crime, Drama, History",H. Banerjee,72,https://www.imdb.com/title/tt0222012/?ref_=fea_eds_center-3_IndiaTop250_206,Kamal Haasan,Shah Rukh Khan
Hey Ram,8,2022,Pradeep Ranganathan,Comedy,"Two young lovers , made exchange phones day happens due .","Comedy, Drama, Romance",Pradeep Ranganathan,76,https://www.imdb.com/title/tt22488728/?ref_=fea_eds_center-3_IndiaTop250_207,Pradeep Ranganathan,Ivana
Love Today,7.9,2012,Karthik Subbaraj,Horror,A pizza delivery boy lands mysterious circumstance works dramatic change life .,"Horror, Thriller",Prasath Ramar,14,https://www.imdb.com/title/tt2585562/?ref_=fea_eds_center-3_IndiaTop250_208,Vijay Sethupathi,Ramya Nambeeshan
Pizza,7.9,2018,R. Balki,Comedy,"Upon realizing extent women affected menses , man sets create sanitary pad machine provide inexpensive sanitary pads women rural India .","Comedy, Drama",R. Balki,145,https://www.imdb.com/title/tt7218518/?ref_=fea_eds_center-3_IndiaTop250_209,Akshay Kumar,Radhika Apte
Pad Man,8,2019,Ratheesh Balakrishnan Poduval,Comedy,"Story conventional , conservative small town villager son move away home due profession . Their relationship gets endearing twist AI humanoid ent ... Read","Comedy, Drama, Sci-Fi",Ratheesh Balakrishnan Poduval,69,https://www.imdb.com/title/tt9526826/?ref_=fea_eds_center-3_IndiaTop250_210,Soubin Shahir,Suraj Venjaramoodu
Android Kunjappan Ver 5.25,8.1,2004,Dharani,Action,"Velu , aspiring kabaddi player , goes Madurai participate regional match , rescues Dhanalakshmi Muthupandi , powerful man keen marrying girl ... Read","Action, Drama, Romance",Bharathan,47,https://www.imdb.com/title/tt0422320/?ref_=fea_eds_center-3_IndiaTop250_211,Joseph Vijay,Trisha Krishnan
Ghilli,7.9,2015,Neeraj Pandey,Action,"An elite counter-intelligence unit learns plot , masterminded maniacal madman . With clock ticking , 's track terrorists ' international tentacles prevent ... Read","Action, Crime, Thriller",Neeraj Pandey,259,https://www.imdb.com/title/tt3848892/?ref_=fea_eds_center-3_IndiaTop250_212,Akshay Kumar,Danny Denzongpa
Baby,7.9,2013,Rajat Kapoor,Comedy,"After distressing incident , Delhi man vows believe see , new ideals soon take life extreme directions .","Comedy, Drama",Rajat Kapoor,105,https://www.imdb.com/title/tt3614516/?ref_=fea_eds_center-3_IndiaTop250_213,Sanjay Mishra,Seema Pahwa
Ankhon Dekhi,7.8,2017,Saket Chaudhary,Comedy,A couple Chandni Chowk aspire give daughter best education thus part accepted elite Delhi .,"Comedy, Drama",Sonu Sinha,111,https://www.imdb.com/title/tt5764096/?ref_=fea_eds_center-3_IndiaTop250_214,Irrfan Khan,Saba Qamar
Hindi Medium,8,2018,M. Padmakumar,Crime,"The story develops life four retired policemen . It tone thriller investigation . An issue affecting life Joseph , central character , family ... Read","Crime, Drama, Thriller",Shahi Kabir,76,https://www.imdb.com/title/tt8561086/?ref_=fea_eds_center-3_IndiaTop250_215,Joju George,Athmeeya Rajan
Joseph,8,2013,Jeethu Joseph,Mystery,"Sam Alex , drunkard ex-cop , forced investigate series murders committed pattern . His search leads serial killer , something expect ... Read","Mystery, Thriller",Jeethu Joseph,28,https://www.imdb.com/title/tt3124456/?ref_=fea_eds_center-3_IndiaTop250_216,Prithviraj Sukumaran,Sreejith Ravi
Memories,8,2021,Mahesh Narayanan,Action,"A past ridden crime , death pain recounted Freddy , juvenile criminal , assigned eliminate estranged uncle Sulaiman , aging patriarch , behind bars .","Action, Biography, Crime",Mahesh Narayanan,389,https://www.imdb.com/title/tt10919240/?ref_=fea_eds_center-3_IndiaTop250_217,Fahadh Faasil,Nimisha Sajayan
Malik,8.1,2012,A.R. Murugadoss,Action,An army captain mission track destroy terrorist gang deactivate sleeper cells command .,"Action, Thriller",Mayank Jain,134,https://www.imdb.com/title/tt2187153/?ref_=fea_eds_center-3_IndiaTop250_218,Joseph Vijay,Kajal Aggarwal
Thuppakki,8.1,2019,Vivek Agnihotri,Drama,"Revolves around mysterious death India 's 2nd Prime Minister Shri Lal Bahadur Shastri attempts uncover actually died natural death , , alleged , assassinated .","Drama, Mystery, Thriller",Vivek Agnihotri,532,https://www.imdb.com/title/tt8108268/?ref_=fea_eds_center-3_IndiaTop250_219,Shweta Basu Prasad,Mithun Chakraborty
The Tashkent Files,7.9,2020,Midhun Manuel Thomas,Crime,"The police trail serial killer , victims fellow officers , able catch killer solve case time ?","Crime, Mystery, Thriller",Midhun Manuel Thomas,153,https://www.imdb.com/title/tt10717738/?ref_=fea_eds_center-3_IndiaTop250_220,Kunchacko Boban,Jinu Joseph
